,resource_name,type,details,ownership_status,format,format_details,storage_location,storage_location_details,private_public,agency,Respondent Full Name,size,collection_method,Imagery,Continuous,Observational,collection_method_details,name,name2,data_type
44,Minnesota Environmental Data Access,dataset,https://www.pca.state.mn.us/eda-surface-water-data,owned,excel,NA,server,NA,public,ARS,Dalzell_Brent,unknown,"continuous,observational",FALSE,TRUE,TRUE,NA,Minnesota Environmental Data Access,Minnesota Environmental Data Access,Water
384,Microsoft Access,dataset,Database application from Microsoft.,commercial,database,NA,server,NA,hybrid,FNS,Kieyoomia_Lonnie,100gb,observational,FALSE,FALSE,TRUE,NA,Microsoft Access,Microsoft Access,NA
420,Metastorm,dataset,"Utilized by SITC.
PPQ resource, pulls data from APHIS sources.",commercial,other,unknown,server,NA,private,APHIS,Davis_Eoin,unknown,other,FALSE,FALSE,FALSE,unknown,Metastorm,Metastorm,NA
361,"•	Meals for Kids Sites",dataset,"data feed from the FNS ArcGIS Online Hub can be used by developers to create use these publicly available FNS data into their own platforms. This allows for the public to develop tools that are most useful for them and their stakeholders. For example, the Share Our Strength texting tool uses the Meals for Kids data feed for their texting tool.",owned,geoformat,NA,cloud,FNS ArcGIS Online Hub,public,FNS,Stretch_Laura,100gb,observational,FALSE,FALSE,TRUE,NA,Meals for Kids Sites,Meals for Kids Sites,NA
74,MATLAB,dataset,Mathematical modelling software,commercial,excel,NA,local,NA,private,ARS,Szogi_Ariel,100gb,"continuous,observational",FALSE,TRUE,TRUE,NA,MATLAB,MATLAB,NA
120,Map of the Llano Estacado of North America,dataset,"Map of the Llano Estacado of North America in KML (Google Earth) format available at:

https://data.mendeley.com/datasets/7yr6ktj7gk/1

Citation:

Stout, John E.; Hodge, Benita (2022), “Map of the Llano Estacado of North America”, Mendeley Data, V1, doi: 10.17632/7yr6ktj7gk.1",private,geoformat,KML format.,other,Mendely Data site: https://data.mendeley.com/datasets/7yr6ktj7gk/1,public,ARS,Stout_John,100gb,other,FALSE,FALSE,FALSE,Map that can be uploaded into Google Earth or ArcGIS.,Map of the Llano Estacado of North America,Map of the Llano Estacado of North America,NA
91,MANAGE,dataset,compilation of measure annual N and P loss data from ag lands and forests,owned,database,NA,other,Ag Data Commons,public,ARS,Harmel_Darn,100gb,observational,FALSE,FALSE,TRUE,NA,MANAGE,MANAGE,NA
268,MAGE  Crop Travel Data,dataset,https://mageusda.geointservices.io/,owned,geoformat,NA,cloud,NA,private,FAS,Blackburn_Justin,100gb,observational,FALSE,FALSE,TRUE,NA,MAGE  Crop Travel Data,MAGE  Crop Travel Data,Yield
136,MA Cranberry Cultivars,dataset,Spatial variation of cranberry cultivars grown in MA,private,geoformat,GIS layer,local,NA,private,ARS,Kennedy_Casey,1tbplus,observational,FALSE,FALSE,TRUE,NA,MA Cranberry Cultivars,MA Cranberry Cultivars,Yield
163,LTAR Legacy Production data,dataset,This is a data set of long-term production and climate data across the Long Term Agroecosystem Research (LTAR) network.,owned,excel,NA,local,NA,hybrid,ARS,Hoover_David,100gb,observational,FALSE,FALSE,TRUE,NA,LTAR Legacy Production data,LTAR Legacy Production data,Yield
6,Local server with field data,dataset,An in-house server contains decades of agronomic data from field experiments conducted by USDA at the Maricopa Agricultural Center,owned,other,All of the above,server,NA,private,ARS,Thorp_Kelly,unknown,"continous,imagery,observational",TRUE,FALSE,TRUE,NA,Local server with field data,Local server with field data,NA
246,LIMS,dataset,"A software program used to log, track, and distribute information on submitted accessions.",owned,other,Software specific data reports.,server,NA,private,APHIS,Young_Stephen,unknown,observational,FALSE,FALSE,TRUE,NA,LIMS,LIMS,NA
23,LIDAR (3DEP),dataset,We are continuosly working with USGS 3DEP to collect additional LIDAR data in Idaho.  https://www.idaholidar.org/,shared,geoformat,"LAS, LAZ, and Raster formats",other,https://www.idaholidar.org/,public,NRCS,Buehler_Eric,1tbplus,imagery,TRUE,FALSE,FALSE,NA,LiDAR,LiDAR,Imagery
57,LiDAR,dataset,"LiDAR is a high resolution elevation resource.  It has many uses, but for NRCS uses it is a primary source of high resolution digital elevation models (DEM).  The DEM is a good source for hydrology analysis and surface elevations of AutoCAD pipeline designs.",opensource,geoformat,LAS or DEM,server,"Multiple sources where this can be obtained, State agencies, open source, federal agencies.",public,NRCS,Pierce_Ryan,1tbplus,imagery,TRUE,FALSE,FALSE,NA,LiDAR,LiDAR,Imagery
222,LiDAR Data,dataset,"The acquisition, collection, and management of LiDAR data is integral to the geospatial analyzing of terrestrial and aquatic landscapes. Via thye USGS 3Dep program the Forest Service is able to leverage multiple agencies through USGS to acquire critical LiDAR data across the country.",shared,other,Ra las files...,server,The voluminous data is normally handled via a NAS box or hard drive from a workstation. Derivatives are often loaded in to the cloud for use.,public,FS,Lammie_Samuel,1tbplus,continuous,FALSE,TRUE,FALSE,NA,LiDAR,LiDAR,Imagery
273,LIDAR,dataset,"LIDAR - (Q1) is high resolution elevation data that is being collected by various 3rd party contractors to cover the majority of Louisiana.  This data will assist engineers for survey-grade type projects, as well as planners for conservation practices.  Current status of LIDAR for Louisiana and other information can be found here: https://arcg.is/0XTfrS0
",shared,geoformat,"LAS, DEM (GeoTiff), GIS Service",other,National Map website and agency-owned servers,hybrid,NRCS,Capezza_Robert,1tbplus,other,FALSE,FALSE,FALSE,"Data collected from piloted, fixed-wing aircraft using high quality GPS/GIS sensors",LiDAR,LiDAR,Imagery
398,Lexis Nexis,dataset,"This is a SITC resource.
www.lexisnexis.com
LexisNexis is a corporation that sells data analytics products and various databases that are accessed through online portals, for companies and government agencies seeking data analytics supporting compliance, customer acquisition, fraud detection, health outcomes, identity solutions, receivables management, risk decisioning and workflow optimization.",commercial,other,Web portal to private dataset,other,Internet site,hybrid,APHIS,Davis_Eoin,unknown,other,FALSE,FALSE,FALSE,I don't know how they collect their data.,Lexis Nexis,Lexis Nexis,NA
423,LERS (from Google),dataset,"Utilized by SITC.
https://lers.google.com/signup_v2/landing",commercial,other,unknown,other,Internet site,private,APHIS,Davis_Eoin,unknown,other,FALSE,FALSE,FALSE,unknown,LERS (from Google),LERS (from Google),NA
20,Leks,dataset,This dataset comes from Idaho Fish and Game and shows the location of the leks.,private,geoformat,shapefile,local,NA,private,NRCS,Buehler_Eric,100gb,observational,FALSE,FALSE,TRUE,NA,Leks,Leks,NA
422,LeadsOnline,dataset,"Utilized by SITC.
https://www.leadsonline.com/main/index.php",commercial,other,unknown,other,Internet site,hybrid,APHIS,Davis_Eoin,unknown,other,FALSE,FALSE,FALSE,unknown,LeadsOnline,LeadsOnline,NA
270,Landscape Change Monitoring System,dataset,"The Landscape Change Monitoring System (LCMS) is a remote sensing-based system produced by the USDA Forest Service for mapping and monitoring changes related to vegetation canopy cover, as well as land cover and land use. Data produced by LCMS extend from 1985 to the most recently completed growing year. LCMS is intended to provide a consistent monitoring method for applications including, but not limited to, post-disturbance monitoring, broad-scale vegetation cover change, land cover and land use conversion trends monitoring, and sensitive habitat monitoring.
",owned,geoformat,Raster,other,"Google Earth Engine, RDW, T:drive .tif raster files",public,FS,Pugh_Nathan,1tb,imagery,TRUE,FALSE,FALSE,NA,Landscape Change Monitoring System,Landscape Change Monitoring System,Vegetation
258,Intensive Observational Period (IOP) data collection,dataset,Periodically we have Intensive Observational Periods (IOPs) where a lot of site/date specific data is collected within specified fields. This data is stored and used for analysis and/or validation to remotely sensed data.,owned,excel,excel/csv/txt,local,NA,private,ARS,Knipper_Kyle,1tb,observational,FALSE,FALSE,TRUE,NA,Intensive Observational Period (IOP) data collection,Intensive Observational Period (IOP) data collection,NA
318,Integrated Taxonomic Information System,dataset,https://itis.gov/,opensource,database,NA,cloud,NA,public,APHIS,Shen_Zhengxing,unknown,observational,FALSE,FALSE,TRUE,NA,Integrated Taxonomic Information System,Integrated Taxonomic Information System,NA
218,Integrated Plant Health Information System,dataset,IPHIS is is a database utilized by APHIS surveyors and State partners to report pest survey data and order supplies for annual pest surveys. The url is: https://iphis.aphis.usda.gov/phisUI/,owned,excel,NA,server,NA,private,APHIS,Swink_Whitney,unknown,continuous,FALSE,TRUE,FALSE,NA,Integrated Plant Health Information System (IPHIS),Integrated Plant Health Information System (IPHIS),Pest/Disease
275,IPHIS-Integrated Plant Health Information System,dataset,"https://iphis.aphis.usda.gov/
",owned,database,NA,server,NA,private,APHIS,Escobales_Vivian,unknown,continuous,FALSE,TRUE,FALSE,NA,Integrated Plant Health Information System (IPHIS),Integrated Plant Health Information System (IPHIS),Pest/Disease
281,Inside Idaho,dataset,"University of Idaho Maps, Layers, Scenes, Apps, Tools, etc. https://www.insideidaho.org/",opensource,geoformat,shapefiles,cloud,NA,hybrid,FS,Wroblewski_Becky,1tbplus,imagery,TRUE,FALSE,FALSE,NA,Inside Idaho,Inside Idaho,NA
69,InsectBase 2.0,dataset,"https://doi.org/10.1093/nar/gkab1090 citation, v2.insect-genome.com for site
database contains more than 16 million sequences, including 817 insect genomes in 20 orders, 158 families, 457 genera. It provides 15,045,111 coding sequences of 713 species, 3,436,022 3'UTRs and 4,345,664 5'UTRs of 374 species, 112,162 miRNAs of 807 species, and 1,293,430 lncRNAs of 376 species. Moreover, using improved standard pipelines, we assembled 25,805 transcriptomes of 440 insect species, annotated 1,434,653 genes in 164 gene families, 215,986 potential horizontal gene transfer (HGT) genes, and 419 KEGG pathways of 713 insects.",shared,other,many,other,"Zhejiang University, China",hybrid,ARS,Allen_Margaret,1tbplus,observational,FALSE,FALSE,TRUE,NA,InsectBase 2.0,InsectBase 2.0,Pest/Disease
254,"Insect captures in College Station, TX area.",dataset,Trap captures of Boll weevils 2 - 3 times per week from 1997 - 2002.,owned,excel,numbers of weevils/trap,local,NA,private,ARS,Eyster_Ritchie,100gb,observational,FALSE,FALSE,TRUE,NA,"Insect captures in College Station, TX area.","Insect captures in College Station, TX area.",Pest/Disease
418,ImportGenius,dataset,"Utilized by SITC.
https://www.importgenius.com/",opensource,other,unknown,other,Internet site,public,APHIS,Davis_Eoin,unknown,other,FALSE,FALSE,FALSE,unknown,ImportGenius,ImportGenius,NA
18,South Carolina leaf-off statewide imagery,dataset,"The USFS Francis Marion-Sumter National Forests has contributed funds via an agreement  with the South Carolina Geodetic Survey to financially support the collection of new statewide aerial imagery for South Carolina, including the areas of the National Forests. The Forest has been given access to this imagery hosted on state-owned imagery server.",shared,geoformat,raster image service,other,State of South Carolina image server,private,FS,Mueller_Andrew,unknown,imagery,TRUE,FALSE,FALSE,NA,imagery,imagery,Imagery
81,high resolution remote sensing imagery,dataset,https://evwhs.digitalglobe.com/myDigitalGlobe/login,shared,other,Imagery,cloud,NA,private,ARS,Clark_Patrick,1tbplus,imagery,TRUE,FALSE,FALSE,NA,imagery,imagery,Imagery
104,SAR (synthetic aperture radar) data,dataset,https://asf.alaska.edu/,owned,geoformat,NA,server,NA,public,ARS,Saliendra_Nick,unknown,imagery,TRUE,FALSE,FALSE,NA,imagery,imagery,Imagery
105,Remote Sensing,dataset,https://earthobservatory.nasa.gov/,owned,geoformat,NA,server,NA,public,ARS,Saliendra_Nick,unknown,imagery,TRUE,FALSE,FALSE,NA,imagery,imagery,Imagery
114,Multimodal hyperspectral image data,dataset,"Data from in-house developed multimodal hyperspectral imaging systems including fluorescence, visible/near-infrared and short wave infrared, and Raman chemical imaging.   The in-house developed systems control and interface software packages save raw imagery data in ENVI binary BIL or BSQ formats.",owned,other,ENVI binary BIL and/or BSQ format,local,Data are stored on a backup external drive.,private,ARS,Kim_Moon,1tbplus,"imagery,other",TRUE,FALSE,FALSE,In-house developed multimodal hyperspectral imaging systems,imagery,imagery,Imagery
154,Hyperspectral Reflectance for Forage Quality,dataset,"Multi-year, multi-location, and multi-plant species in situ canopy reflectance data for development of real-time forage quality measurements.",owned,excel,NA,local,NA,private,ARS,Starks_PATRICK,100gb,observational,FALSE,FALSE,TRUE,NA,imagery,imagery,Imagery
155,Hyperspectral Reflectance for Soil Health,dataset,A collection of soil reflectance spectra used to develop algorithms for determination of selected soil health variables,owned,excel,NA,local,NA,private,ARS,Starks_PATRICK,100gb,observational,FALSE,FALSE,TRUE,NA,imagery,imagery,Imagery
172,NASA Global Imagery,dataset,https://www.earthdata.nasa.gov/eosdis/science-system-description/eosdis-components/gibs,opensource,other,Rest Service API,other,Rest Service API,public,ARS,Carter_Jennifer,unknown,"imagery,other",TRUE,FALSE,FALSE,Rest Service API,imagery,imagery,Imagery
190,Imagery,dataset,none,owned,geoformat,NA,server,NA,hybrid,NRCS,Runge_Crystal,1tb,imagery,TRUE,FALSE,FALSE,NA,imagery,imagery,Imagery
205,Landsat,dataset,https://www.usgs.gov/landsat-missions,opensource,geoformat,geoTiff,cloud,NA,public,NASS,Johnson_David,1tbplus,"imagery,observational",TRUE,FALSE,TRUE,NA,imagery,imagery,Imagery
206,ESA Sentinel,dataset,https://sentinels.copernicus.eu/web/sentinel/home,opensource,other,jpeg,other,jpeg,public,NASS,Johnson_David,1tbplus,imagery,TRUE,FALSE,FALSE,NA,imagery,imagery,Imagery
207,MODIS,dataset,https://modis.gsfc.nasa.gov/,opensource,other,HDF,server,NA,public,NASS,Johnson_David,1tbplus,imagery,TRUE,FALSE,FALSE,NA,imagery,imagery,Imagery
209,Planet,dataset,www.planet.com,commercial,geoformat,geoTIFF,server,NA,private,NASS,Johnson_David,1tbplus,imagery,TRUE,FALSE,FALSE,NA,imagery,imagery,Imagery
242,Remote sensing data,dataset,"Satellite imagery by USGS, PlanetScope",owned,geoformat,"raster (TIFF, JPEG)",local,NA,hybrid,ARS,Zhang_Huihui,1tbplus,"continuous,imagery,observational",TRUE,TRUE,TRUE,NA,imagery,imagery,Imagery
251,MicaSense RedEdge multispectral camera flown on Cessna Aircraft at 1000ft and 10000ft,dataset,"The data is imagery collected with the RedEdge camera system installed in a view port on bottom of Cessne aircraft.  Images were collected at a rate of 60 images/minute.  Flights were made on June 2017 and July 2017 Southeast of Uvalde , TX over a 1X 7.5 mile area for the 1000 ft level and 2 X 15 mile area for the 10000 ft level. Ground sampling distance is 20 cm at 1000 ft and 2 m at 10000 ft.  18 Ground Control Points were measured by Survey grade GPS and marked with 2 X 2 ft white boards.",owned,geoformat,"The data is imagery at 960 rows and 1280 columns, 12-bit files",local,Multiple copies of original images and processed images on several local hard drives,private,ARS,Eyster_Ritchie,1tb,imagery,TRUE,FALSE,FALSE,NA,imagery,imagery,Imagery
255,USDA Pecan Provenance Orchard Imagery,dataset,This is satellite imagery generated by our collaborator Sorin Popescu at Texas A&M. It consists of multispectral and ground-based lidar imagery of our provenance orchard at our College Station location.,shared,other,Unknown,other,Stored on collaborator's hard drives.,private,ARS,Chatwin_Warren,unknown,imagery,TRUE,FALSE,FALSE,NA,imagery,imagery,Imagery
256,"Satellite Imagery (Landsat, HLS, Sentinel, ECOSTRESS, etc)",dataset,"Satellite imagery produced by multiple sources. The primary satellite imagery used in our research is Landsat, produced by USGS.",freeware,geoformat,geotiff,local,Data is stored on local Linux-based servers,private,ARS,Knipper_Kyle,1tbplus,imagery,TRUE,FALSE,FALSE,NA,imagery,imagery,Imagery
288,Aerial imagery and satellite imagery,dataset,"Aerial imagery from National Agriculture Imagery Program (NAIP)
Satellite imagery from Landsat and Sentinel
Digital elevation
Land cover",opensource,geoformat,Raster image format (tiff etc.) and GIS,other,https://earthexplorer.usgs.gov/,public,ARS,Yang_Chenghai,1tbplus,imagery,TRUE,FALSE,FALSE,NA,imagery,imagery,Imagery
290,NASA and USGS Satellite data products,dataset,Satellite imagery,opensource,geoformat,NA,cloud,NA,public,ARS,Kustas_Bill,1tbplus,"continuous,imagery",TRUE,TRUE,FALSE,NA,imagery,imagery,Imagery
323,satellite imagery,dataset,"We use primarily use Landsat, Sentinel2, and MODIS imagery available via GEE, ESRI ArcGIS applications, and the work of some contractors (custom web apps) to ensure we have quick and easy access for routine, monthly monitoring of global crop conditions.   
https://developers.google.com/earth-engine/datasets (open source); https://glam1.gsfc.nasa.gov/ (MOU); https://geo.fas.usda.gov/GADAS/index.html (custom developed by FAS contractors); https://livingatlas2.arcgis.com/landsatexplorer/ (commercially licensed) and some additional private options.",opensource,other,image services,cloud,"Away from the days of our Satellite Imagery Archive, we greatly restrict storing imagery. However, cloud-based processing has allowed us to assess much more data covering more land area than before.",hybrid,FAS,Colson_Lisa,1tbplus,imagery,TRUE,FALSE,FALSE,NA,imagery,imagery,Imagery
140,Hydrologic data,dataset,"Hydrologic flow data collected at multiple scales:
https://www.ars.usda.gov/southeast-area/tifton-ga/southeast-watershed-research/research/public-data/
https://www.nrrig.mwa.ars.usda.gov/stewards/stewards.html",opensource,excel,csv,local,local server,public,ARS,Bosch_David,1tb,continuous,FALSE,TRUE,FALSE,NA,Hydrologic data,Hydrologic data,Water
265,https://glam1.gsfc.nasa.gov/,dataset,MODIS NDVI Weather Data,shared,geoformat,TIF,local,NA,public,FAS,Blackburn_Justin,1tbplus,imagery,TRUE,FALSE,FALSE,NA,https://glam1.gsfc.nasa.gov/,https://glam1.gsfc.nasa.gov/,Weather
122,Hourly dust measurements on the high plains of the Llano Estacado,dataset,"Hourly dust measurements collected at the Plant Stress and Water Conservation Lab in Lubbock, Texas.  Available at:

https://data.mendeley.com/datasets/3p6pc4zhkw/1
",private,excel,NA,other,Mendely Data site:  https://data.mendeley.com/datasets/3p6pc4zhkw/1,public,ARS,Stout_John,100gb,continuous,FALSE,TRUE,FALSE,NA,Hourly dust measurements on the high plains of the Llano Estacado,Hourly dust measurements on the high plains of the Llano Estacado,Soil
65,HNT database,dataset,"rawdata of rice grain yield, yield components of 310 rice accessions and 10 rice hybrids under ambient and elevated night air temperature",shared,excel,NA,other,back up copies in external and internal drives,hybrid,ARS,Adviento-Borbe_Arlene,1tb,observational,FALSE,FALSE,TRUE,NA,HNT database,HNT database,Yield
179,Historical fire boundaries,dataset,Boundaries of wildfires and prescribed burns in Pawnee National Grasslands (CO) and Thunderbasin National Grasslands (WY).,owned,geoformat,NA,server,NA,hybrid,ARS,Kearney_Sean,100gb,observational,FALSE,FALSE,TRUE,NA,Historical fire boundaries,Historical fire boundaries,NA
51,Historical Availability Dataset,dataset,Dataset that provides the USDA imagery years that are available for each county in the United States.  The dataset is essentially a county delineation file that contains the imagery year information for each county along with basic county and state identification information.,owned,geoformat,NA,server,NA,public,FPAC,Blankley_Brent,unknown,imagery,TRUE,FALSE,FALSE,NA,Historical Availability Dataset,Historical Availability Dataset,Imagery
170,HILFD,dataset,https://hifld-geoplatform.opendata.arcgis.com/,opensource,other,Rest Service API,cloud,NA,public,ARS,Carter_Jennifer,unknown,other,FALSE,FALSE,FALSE,Rest Service API,HILFD,HILFD,NA
307,gypsy moth trap data,dataset,Annually updated layer of gypsy moth trap catch nationwide. APHIS PPQ conducts trapping outside of the quarantine zone; Slow the Spread Foundation traps along the spread front. A new portal is being set up in PPQ to house all data in one spot.,owned,database,NA,cloud,NA,hybrid,APHIS,Warden_Melissa,unknown,observational,FALSE,FALSE,TRUE,NA,gypsy moth trap data,gypsy moth trap data,Pest/Disease
424,GS1 Company Database (GEPIR),dataset,"Utilized by SITC.
https://www.gs1us.org/tools/gs1-company-database-gepir

UPC tracking, among other things.",commercial,other,unknown,other,Internet site,hybrid,APHIS,Davis_Eoin,unknown,other,FALSE,FALSE,FALSE,unknown,GS1 Company Database (GEPIR),GS1 Company Database (GEPIR),NA
336,"Growth and Yield Data for the Bushland, Texas, Winter Wheat Datasets",dataset,"Growth and Yield Data for the Bushland, Texas, Winter Wheat Datasets
https://data.nal.usda.gov/dataset/growth-and-yield-data-bushland-texas-winter-wheat-datasets. Accessed 2022-06-01
This dataset consists of growth and yield data for each season when winter wheat (Triticum aestivum L.) was grown for grain at the USDA-ARS Conservation and Production Laboratory (CPRL), Soil and Water Management Research Unit (SWMRU) research weather station, Bushland, Texas (Lat. 35.186714°, Long. -102.094189°, elevation 1170 m above MSL). In each season, winter wheat was grown for grain on two large, precision weighing lysimeters, each in the center of a 4.44 ha square field. The square fields are themselves arranged in a larger square with the fields in four adjacent quadrants of the larger square. Fields and lysimeters within each field are thus designated northeast (NE), southeast (SE), northwest (NW), and southwest (SW). Irrigation was by linear move sprinkler system. Irrigation protocols described as full were managed to replenish soil water used by the crop on a weekly or more frequent basis as determined by soil profile water content readings made with a neutron probe to 2.4-m depth in the field. Irrigation protocols described as deficit typically involved irrigations to establish the crop early in the season, followed by reduced or absent irrigations later in the season (typically in the later winter and spring).
The growth and yield data include plant population density, height (except in 1989-1990), plant row width, leaf area index, growth stage, total above-ground biomass, leaf and stem biomass, head mass (when present), kernel number, and final yield. Data are from replicate samples in the field and non-destructive (except for final harvest) measurements on the weighing lysimeters. In most cases yield data are available from both manual sampling on replicate plots in each field and from machine harvest.
These datasets originate from research aimed at determining crop water use (ET), crop coefficients for use in ET-based irrigation scheduling based on a reference ET, crop growth, yield, harvest index, and crop water productivity as affected by irrigation method, timing, amount (full or some degree of deficit), agronomic practices, cultivar, and weather. Prior publications have focused on winter wheat ET, crop coefficients, and crop water productivity. Crop coefficients have been used by ET networks. The data have utility for testing simulation models of crop ET, growth, and yield and have been used by the Agricultural Model Intercomparison and Improvement Project (AgMIP) and by many others for testing, and calibrating models of ET that use satellite and/or weather data.",opensource,excel,Excel,server,Data are in the USDA ARS NAL Ag Data Commons,public,ARS,Evett_Steven,100gb,observational,FALSE,FALSE,TRUE,NA,"Growth and Yield Data for the Bushland, Texas, Winter Wheat Datasets","Growth and Yield Data for the Bushland, Texas, Winter Wheat Datasets",Yield
348,"Growth and Yield Data for the Bushland, Texas Maize for Grain Datasets",dataset,"Growth and Yield Data for the Bushland, Texas Maize for Grain Datasets
https://doi.org/10.15482/USDA.ADC/1526328
This dataset consists of growth and yield data for each year when maize was grown for grain at the USDA-ARS Conservation and Production Laboratory (CPRL), Soil and Water Management Research Unit (SWMRU) research weather station, Bushland, Texas (Lat. 35.186714°, Long. -102.094189°, elevation 1170 m above MSL). Maize was grown for grain on four large, precision weighing lysimeters, each in the center of a 4.44 ha square field. The four square fields are themselves arranged in a larger square with the fields in four adjacent quadrants of the larger square. Fields and lysimeters within each field are thus designated northeast (NE), southeast (SE), northwest (NW), and southwest (SW). Irrigation was by linear move sprinkler system in 1989, 1990, and 1994. In 2013, 2016, and 2018, two lysimeters and their respective fields (NE and SE) were irrigated using subsurface drip irrigation (SDI), and two lysimeters and their respective fields (NW and SW) were irrigated by a linear move sprinkler system. Irrigations were managed to replenish soil water used by the crop on a weekly or more frequent basis as determined by soil profile water content readings made with a neutron probe to 2.4-m depth in the field.
The growth and yield data include plant population density, height, plant row width, leaf area index, growth stage, total above-ground biomass, leaf and stem biomass, ear mass (when present), kernel number, and final yield. Data are from replicate samples in the field and non-destructive (except for final harvest) measurements on the weighing lysimeters. In most cases yield data are available from both manual sampling on replicate plots in each field and from machine harvest.
These datasets originate from research aimed at determining crop water use (ET), crop coefficients for use in ET-based irrigation scheduling based on a reference ET, crop growth, yield, harvest index, and crop water productivity as affected by irrigation method, timing, amount (full or some degree of deficit), agronomic practices, cultivar, and weather. Prior publications have focused on maize ET, crop coefficients, and crop water productivity. Crop coefficients have been used by ET networks. The data have utility for testing simulation models of crop ET, growth, and yield and have been used by the Agricultural Model Intercomparison and Improvement Project (AgMIP), by OPENET, and by many others for testing, and calibrating models of ET that use satellite and/or weather data.",opensource,excel,Excel,server,Data are on the USDA ARS NAL Ag Data Commons,public,ARS,Evett_Steven,100gb,observational,FALSE,FALSE,TRUE,NA,"Growth and Yield Data for the Bushland, Texas Maize for Grain Datasets","Growth and Yield Data for the Bushland, Texas Maize for Grain Datasets",Yield
344,"Growth and Yield Data for the Bushland, Texas Alfalfa Datasets",dataset,"Growth and Yield Data for the Bushland, Texas Alfalfa Datasets
https://doi.org/10.15482/USDA.ADC/1526355
This dataset consists of growth and yield data for each year when alfalfa was grown at the USDA-ARS Conservation and Production Laboratory (CPRL), Soil and Water Management Research Unit (SWMRU) research weather station, Bushland, Texas (Lat. 35.186714°, Long. -102.094189°, elevation 1170 m above MSL). Alfalfa was grown on two large, precision weighing lysimeters, each in the center of a 4.44 ha square field. The two square fields were themselves arranged with one directly north of and contiguous with the other. The two fields and lysimeters within each field were designated northeast (NE), and southeast (SE). Irrigation was by linear move sprinkler system in autumn 1995 when the alfalfa was planted through 1999. Irrigations were managed to replenish soil water used by the crop on a weekly or more frequent basis as determined by soil profile water content readings made with a neutron probe to 2.4-m depth in the field.
The growth and yield data include height, leaf area index, growth stage, total above-ground biomass, leaf and stem biomass, and final yield. Data are from replicate samples in the field and non-destructive (except for harvest) measurements on the weighing lysimeters. In most cases yield data are available from both manual sampling on replicate plots in each field and from machine harvest.
These datasets originate from research aimed at determining crop water use (ET), crop coefficients for use in ET-based irrigation scheduling based on a reference ET, crop growth, yield, harvest index, and crop water productivity as affected by irrigation method, timing, amount (full or some degree of deficit), agronomic practices, cultivar, and weather. Prior publications have focused on alfalfa ET, comparisons with ""tall crop"" reference ET, crop coefficients, and crop water productivity. Crop coefficients have been used by ET networks. The data have utility for testing simulation models of crop ET, growth, and yield, and for studies of reference ET methods.",opensource,excel,Excel,server,Data are on the USDA ARS NAL Ag Data Commons,public,ARS,Evett_Steven,100gb,observational,FALSE,FALSE,TRUE,NA,"Growth and Yield Data for the Bushland, Texas Alfalfa Datasets","Growth and Yield Data for the Bushland, Texas Alfalfa Datasets",Yield
153,GRL Flux Net,dataset,A collection of eddy covariance flux systems located in various fields with the laboratory grounds of the Grazinglands Research Laboratory.,owned,excel,NA,local,NA,private,ARS,Starks_PATRICK,unknown,continuous,FALSE,TRUE,FALSE,NA,GRL Flux Net,GRL Flux Net,Vegetation
137,GRIN-Global,dataset,See www.ars-grin.gov,owned,database,Various,server,N/A,public,ARS,Bretting_Peter,unknown,"continuous,observational",FALSE,TRUE,TRUE,NA,GRIN-Global,GRIN-Global,Genomic
271,grin global,dataset,large database used for germplasm information,shared,database,NA,other,unsure,hybrid,ARS,Carver_Daniel,unknown,observational,FALSE,FALSE,TRUE,NA,GRIN-Global,GRIN-Global,Genomic
302,Germplasm Resources Information Network (GRIN),dataset,"GRIN (https://www.ars-grin.gov/) documents USDA-ARS agricultural genetic resources (animal, microbial, plant) collections. The primary emphasis for the National Germplasm Resources Laboratory is to support the plant collections, the National Plant Germplasm System. We operate a component of GRIN, called GRIN-Global, to document the >600,000 active/living plant accessions curated at more than 20 locations around the U.S. The GRIN-Global search page (https://npgsweb.ars-grin.gov/gringlobal/search) enables querying these collections and, for plant breeders and other research scientists, requesting germplasm samples by mail. The GRIN-Global project has international partners and a project site (https://www.grin-global.org/) provides details. Regarding geospatial data, the NPGS has precise latitude/longitude coordinates for many accessions, especially those collected via exploration trips in the past ca. 40 years. For others, we have used estimating methods to assign an approximate georeferenced point. The GRIN-Global public website includes a mapping feature as part of source history for any accession that includes georeferenced data.",opensource,database,Microsoft SQL Server 2019 database,cloud,"Preparing to migrate in June 2022 to ARS Azure, coordinated by USDA-EAS-Cloud Broker Office",public,ARS,Kinard_Gary,1tbplus,observational,FALSE,FALSE,TRUE,NA,GRIN-Global,GRIN-Global,Genomic
176,GPS collar data for cattle,dataset,GPS collar data from collared cattle grazing in herds. Data collection are ranging from 5 min to 1 sec collection intervals. Covers multiple years (10+) and sites in CO and WY. Usually about 10% of a herd is collared.,owned,excel,NA,server,NA,hybrid,ARS,Kearney_Sean,100gb,"continuous,observational",FALSE,TRUE,TRUE,NA,GPS collar data for cattle,GPS collar data for cattle,Animal
415,Google,dataset,"Utilized by SITC.
google.com",opensource,other,unknown,other,internet site,public,APHIS,Davis_Eoin,unknown,other,FALSE,FALSE,FALSE,unknown,Google,Google,NA
