,name,type,details,ownership_status,app_type,private_public,agency,Respondent Full Name,app_details
359,CLC Genomics Workbench,ots,comprehensive software for the analysis of nextgen sequence data,commercial,networked,private,ARS,Baerson_Scott,NA
360,Google Maps,ots,"Commercial mapping tool, mostly used for plotting trap or survey locations and plotting routes",freeware,webapp,public,APHIS,Kimitch_Miyeko,NA
361,SWAT-LUT,ots,"A standalone, user-friendly desktop-based tool for updating land use in the SWAT model that allows users to process multi-year land use data for long-term agricultural model runs.

https://www.ars.usda.gov/research/software/download/?softwareid=SWAT-LUT&modecode=30-70-05-00",owned,desktop,public,ARS,Moriasi_Daniel,NA
362,SAS,ots,Statistical analysis software,commercial,desktop,public,ARS,Soder_Kathy,NA
363,SAS,ots,Statistical analysis software,commercial,desktop,public,ARS,Saporito_Lou,NA
364,Microsoft Office,ots,"Word, Excel, Powerpoint",commercial,desktop,public,ARS,Saporito_Lou,NA
365,Photoshop,ots,Photo editing and creative drawing software,commercial,desktop,public,ARS,Saporito_Lou,NA
366,Microsoft office,ots,"Word processing, spreadsheet, and presentation software",commercial,desktop,private,ARS,Dell_Curtis,NA
367,SAS,ots,Statistical software,commercial,desktop,private,ARS,Dell_Curtis,NA
368,SigmaPlot,ots,Graphics software,opensource,desktop,private,ARS,Dell_Curtis,NA
369,Matrix Gemini,ots,"https://www.autoscribeinformatics.com/lims/matrix-gemini
This product is a customizable/off the shelf LIMS system for tracking laboratory samples from receipt to reporting of results.  This system can also be used to report data out to customers.   We are currently working with the design and configuration team to customize the workflow and build tables for SQL
Challenges have been initial cost, contracting paperwork, maintenance cost and slow turn around.",private,webapp,private,ARS,Fishel_Sarah,NA
370,ChemDraw,ots,Facilitates drawing chemical structures.,commercial,desktop,public,ARS,Kagan_Isabelle,NA
371,Microsoft Office,ots,"Platform for word processing, calculations, and presentations.",commercial,desktop,public,ARS,Kagan_Isabelle,NA
372,JMP,ots,Facilitates statistical analyses.,commercial,desktop,public,ARS,Kagan_Isabelle,NA
373,KaleidaGraph,ots,"Graphics software with spreadsheet and statistics capabilities. https://www.synergy.com/plots/?gclid=CjwKCAjwtIaVBhBkEiwAsr7-cwdW3jkOmGdUDy7vclefqwVNPdAztuNM0be34iEhXj3ZZdGfW3vn1RoChcUQAvD_BwE
",commercial,desktop,public,ARS,Flythe_Michael,NA
374,NFC webTA (KRONOS),ots,Time and Attendance Application,private,webapp,private,FSIS,Antonetti_John,NA
375,NFC EmpowHR (Peoplesoft),ots,"HR Processing, HSPD-12 and other modules are used",private,other,private,FSIS,Antonetti_John,all of the above
376,CLEAR - Thomson Reuters,ots,Investigative tool related to Workers Compensation.,shared,webapp,hybrid,FSIS,Antonetti_John,NA
377,Reasonable Accommodation,ots,Excel file tracking reasonable accommodation,commercial,desktop,private,FSIS,Antonetti_John,NA
378,USA Staffing - OPM,ots,Hiring and Onboarding software,shared,webapp,private,FSIS,Antonetti_John,NA
379,NFC's Insight (Oracle),ots,Reporting Tool,shared,webapp,private,FSIS,Antonetti_John,NA
380,R programming language,ots,I use R Studio as an IDE for the R programming language and its packages to conduct analysis and modeling of environmental data.,opensource,desktop,private,ARS,Millar_David,NA
381,ESRI ArcGIS,ots,I use ESRI products for geospatial analyses.,commercial,desktop,private,ARS,Millar_David,NA
382,Python programming language,ots,I use Spyder as an IDE for the Python programming language and its packages to conduct analysis and modeling of environmental data.,opensource,desktop,private,ARS,Millar_David,NA
383,Q Ground Control,ots,I use Q Ground Control for automated unoccupied aerial vehicle (UAV) data collection missions.,opensource,desktop,private,ARS,Millar_David,NA
384,Ag Data Commons,ots,"The Ag Data Commons is a public, government, scientific research data catalog and repository available to help the agricultural research community share and discover research data funded by the United States Department of Agriculture and meet Federal open data and public access requirements.

Services
Through the Ag Data Commons, the USDA National Agricultural Library (NAL) provides services to make USDA funded research data systems and data products Findable, Accessible, Interoperable, and Reusable (FAIR). Critical functions the Ag Data Commons provides include:

Scientific metadata creation and curation
Public access to data through a catalog of USDA funded research and public APIs
Data repository for long-term archiving (as required to support DOI service)
The Ag Data Commons is a general repository for research data related to food and agriculture, which enables the USDA’s compliance with both public access and open data requirements to make federally funded research data open, accessible, and machine-readable. Services offered increase discoverability for open agricultural research data and provide a repository for data without a discipline-specific repository. Thus, the Ag Data Commons helps USDA-funded researchers find data of interest and meet publisher requirements to provide access to data associated with publications.

https://data.nal.usda.gov/
More information about Ag Data Commons: https://data.nal.usda.gov/about-ag-data-commons",opensource,webapp,public,ARS,Chkhenkeli_Nino,NA
385,Tableau Desktop,ots,Data visualization software. www.tableau.com,commercial,desktop,hybrid,FNS,Kieyoomia_Lonnie,NA
386,Microsoft Excel,ots,Microsoft Office spreadsheet application.,commercial,desktop,hybrid,FNS,Kieyoomia_Lonnie,NA
387,ACL Analytics,ots,Data extraction and analysis software.,commercial,desktop,hybrid,FNS,Kieyoomia_Lonnie,NA
388,Jupyter Notebook,ots,Open source tool utilizing Python to extract and model data.,opensource,desktop,private,FNS,Kieyoomia_Lonnie,NA
389,Google Data Studio,ots,"We use Data Studio to create reports and data visualizations from own Google Analytics account, the government wide DAP account, and our CFI account for HISP metrics. 

As an example, this table is created using the curators of a page on our main website (e.g. at the bottom of this page https://www.nal.usda.gov/animal-health-and-welfare/animal-welfare-act ) exported from Drupal with the page's statistics in DAP:  https://datastudio.google.com/reporting/b7f460c9-aedb-4733-94f4-11801c3221db


And this is created with an export of our CFI data: https://datastudio.google.com/u/0/reporting/ee64b1c6-50c3-41b9-9f9b-f7ace3d5b868/page/p_pxkfy1qulc",freeware,webapp,private,ARS,Donahue_Rachel,NA
390,OpenRefine,ots,"OpenRefine is an open source tool used for data normalization and reconciliation against external sources. We use it for various purposes, such as making sure capitalization is consistent in metadata.",opensource,desktop,private,ARS,Donahue_Rachel,NA
391,Choptank Watershed database,ots,Database for storage of field observations.,commercial,desktop,private,ARS,McCarty_Greg,NA
392,Matlab,ots,"High-level computer language for research modelling, data processing and analysis.  

https://www.mathworks.com/products/matlab.html",commercial,desktop,private,ARS,Crow_Wade,NA
393,JMP,ots,"This is a data analysis and graphing tool used in the Phoenix Rearing Facility, for data analysis of testing and production work in insect mass-production.",commercial,desktop,private,APHIS,Davis_Eoin,NA
394,R,ots,Most of our SYs use R,opensource,desktop,public,ARS,Beck_John,NA
395,SAS,ots,I think only one SY uses SAS,commercial,desktop,private,ARS,Beck_John,NA
396,ESRI ArcGIS Pro,ots,ArcGIS PRO has taken the place of Arc GIS Desktop as our primary GIS geoprocessing software. Approximately 75% of OHS geospatial processes are completed using ArcGIS Pro software.,commercial,desktop,private,ARS,Presny_Cody,NA
397,Google Earth Pro,ots,"Google Earth Pro (GEP) is utilized as a first line decision support application in the OHS EPD Watch Office. GEP is maintained by GIS staff to display USDA global, mission critical features. This software is utilized as an easy-to-approach analytic GIS tool.",commercial,desktop,private,ARS,Presny_Cody,NA
398,ESRI ArcGIS Online,ots,"OHS EPD utilizes Enterprise AGOL to host and share GIS resources within our immediate organization. GIS hosted features, dashboards, and web-applications are used internally and not shared to a greater audience.",commercial,webapp,private,ARS,Presny_Cody,NA
399,Sales Genie,ots,SITC resource.,commercial,networked,hybrid,APHIS,Davis_Eoin,NA
400,SQL Server Management Studio,ots,"Resource utilized by SITC.
Back end read only of SNICAS, the old AQAS – EAN & Min data base, AQAS EANs, the old ARM EAN in Data Mart Version 1 and now working on a new read-only site with Dave K with the new Version Data Mart 2.",commercial,networked,private,APHIS,Davis_Eoin,NA
401,COGNOS,ots,"This is a SITC-utilized resource.
PPQ access to seizure data from ARM, AQAS, and MIN.",commercial,networked,private,APHIS,Davis_Eoin,NA
402,SalesForce,ots,Resource utilized by SITC to generate reports and data queries.,commercial,networked,private,APHIS,Davis_Eoin,NA
403,PowerBI - Metrics,ots,"Resource utilized by SITC.
Microsoft PowerBI reports from PPQ internal database(s).",commercial,networked,private,APHIS,Davis_Eoin,NA
404,SharePoint,ots,SITC utilizes various SharePoint sites across APHIS.,commercial,desktop,private,APHIS,Davis_Eoin,NA
405,MetaStorm,ots,"Utilized by SITC.
https://bpm.aphis.usda.gov/Metastorm/Default.aspx",commercial,networked,private,APHIS,Davis_Eoin,NA
406,Azure,ots,"Utilized by SITC.
USDA resource.",commercial,networked,private,APHIS,Davis_Eoin,NA
407,DataWalk,ots,"Utilized by SITC.  Still under development.
https://datawalk.com/

Almost-complete project to utilize this software to extract and present data from existing APHIS databases.",commercial,networked,private,APHIS,Davis_Eoin,NA
408,DNASTAR,ots,"Commercially licensed suite of software for analysis of molecular sequences (DNA, protein, etc.)",commercial,desktop,private,ARS,Mitchell_Teddi,NA
409,MEGA (Molecular Evolutionary Genetics Analysis,ots,Free software for alignment and phylogenetic analysis of molecular sequences,opensource,desktop,private,ARS,Mitchell_Teddi,NA
410,raxmlGUI 2.0,ots,Free GUI for phylogenetic analysis of molecular sequences using maximum likelihood via the raxml servers.,freeware,desktop,private,ARS,Mitchell_Teddi,NA
411,Box,ots,"https://www.box.com/en-gb/home
It is a secure cloud-based content management, collaboration, and file sharing tool. It helps in securing documents from stakeholders to easily be accessible to NIFA staff. In addition, it is utilized as a collection site for a Peer Review System for panels. This is selected to only those external users who are invited and available to those internally with a license that are USDA staff.",private,webapp,private,NIFA,Azevedo_Marline,NA
412,Microsoft Tools,ots,"The VMLRP program utilizes access database for storage of application and award data with no mechanism of publicly providing information efficiently. Microsoft excel and other programs within this tool are utilized to keep track of applications, awards, and stakeholder contacts/inputs. Sharepoint is utilized throughout the agency for ease of storage and sharing capabilities of information.",commercial,desktop,private,NIFA,Azevedo_Marline,NA
413,OneDrive,ots,"Microsoft tool for storing and sharing data
",commercial,desktop,private,ARS,Thomas_Joe,NA
414,MS Office,ots,"Microsoft suite of tools for composing documents, spreadsheets, and presentations
",commercial,desktop,private,ARS,Thomas_Joe,NA
415,Visio,ots,"Microsoft tool for creating charts and drawings
",commercial,desktop,private,ARS,Thomas_Joe,NA
416,EndNote,ots,"Microsoft tool for managing references
",commercial,desktop,private,ARS,Thomas_Joe,NA
417,Adobe Acrobat,ots,"Software for reading and making PDF documents
",commercial,desktop,private,ARS,Thomas_Joe,NA
418,SAS,ots,"Statistical software https://www.sas.com/en_us/home.html
",commercial,desktop,private,ARS,Thomas_Joe,NA
419,SolidWorks,ots,"3D Parametric CAD modeling software https://www.solidworks.com/
",commercial,desktop,private,ARS,Thomas_Joe,NA
420,AutoCAD,ots,"2D CAD software https://www.autodesk.com/products/autocad/overview
",commercial,desktop,private,ARS,Thomas_Joe,NA
421,Arduino IDE,ots,"Software for programming Arduino compatable microcontrollers https://www.arduino.cc/en/software
",opensource,desktop,private,ARS,Thomas_Joe,NA
422,Python,ots,"Programming language https://www.python.org/
",opensource,desktop,private,ARS,Thomas_Joe,NA
423,TensorFlow,ots,"Machine learning/AI platform https://www.tensorflow.org/
",opensource,desktop,private,ARS,Thomas_Joe,NA
424,TensorFlow Object Detection API,ots,"Software used to train AI based object detection models https://github.com/tensorflow/models/tree/master/research/object_detection
",opensource,desktop,private,ARS,Thomas_Joe,NA
425,OpenCV,ots,"Software library for computer vision https://opencv.org/
",opensource,desktop,private,ARS,Thomas_Joe,NA
426,Anaconda,ots,"Software distribution containing python and other related packages as well as a package manager https://www.anaconda.com/
",opensource,desktop,private,ARS,Thomas_Joe,NA
427,KiCad,ots,"CAD Software for designing circuits and circuit boards https://www.kicad.org/
",opensource,desktop,private,ARS,Thomas_Joe,NA
428,Labview,ots,"Graphical programming software https://www.ni.com/en-us/shop/labview.html
",commercial,desktop,private,ARS,Thomas_Joe,NA
429,Ultimake Cura,ots,"Software for prepairing 3D models for 3D printing https://ultimaker.com/software
",opensource,desktop,private,ARS,Thomas_Joe,NA
430,Mathcad,ots,"Freeform software interface with a comprehensive math engine https://www.mathsoft.com/
",commercial,desktop,private,ARS,Thomas_Joe,NA
431,PCC Phantom Camera Control,ots,"Software for working with high speed camera files https://www.phantomhighspeed.com/resourcesandsupport/phantomresources/pccsoftware
",commercial,desktop,private,ARS,Thomas_Joe,NA
432,Zoom,ots,"Software for video calls https://zoom.us/
",commercial,desktop,private,ARS,Thomas_Joe,NA
433,MCC DAQ,ots,"Software to interface with MC brand DAQ hardware https://www.mccdaq.com/Software-Downloads
",commercial,desktop,private,ARS,Thomas_Joe,NA
434,BioEdit,ots,"Free molecular sequence analysis software, used primarily for concatenating multiple sequence alignments.",freeware,desktop,private,ARS,Mitchell_Teddi,NA
435,Phylogenetic Analysis by Maximum Likelihood (PAML),ots,Free phylogenetic inference software with models for quantifying selection pressure from codon alignments.,freeware,desktop,private,ARS,Mitchell_Teddi,NA
436,Chromas,ots,Free trace viewer for visualizing dideoxy sequencing electropherograms,freeware,desktop,private,ARS,Mitchell_Teddi,NA
437,Sequence Demarcation Tool,ots,Free software for visualizing divergence among molecular sequences,freeware,desktop,private,ARS,Mitchell_Teddi,NA
438,PoloSuite v. 2.0,ots,Commercially licensed software for analysis of bioassay data using probit or logit regression analyses,commercial,desktop,private,ARS,Mitchell_Teddi,NA
439,GNU Image Manipulation Program (GIMP),ots,Free/Open-Source software used for figure preparation.,opensource,desktop,private,ARS,Mitchell_Teddi,NA
440,Inkscape,ots,Free vector graphics software used for figure preparation,freeware,desktop,private,ARS,Mitchell_Teddi,NA
441,SnapGene Viewer,ots,Free software for plasmid drawing and sequence annotation; used primarily for figure preparation,freeware,desktop,private,ARS,Mitchell_Teddi,NA
442,MPI Bioinformatics Toolkit,ots,"Suite of programs for molecular sequence analysis; features HHpred, a sensitive database query/homology and structural prediction program using hidden Markov model profiles.",freeware,webapp,private,ARS,Mitchell_Teddi,NA
443,FGENESV,ots,Software for identifying genes and coding sequences in virus genomes,freeware,webapp,private,ARS,Mitchell_Teddi,NA
444,GeneMark,ots,Software for identifying genes and coding sequences in genomes,freeware,webapp,private,ARS,Mitchell_Teddi,NA
445,Tandem Repeats Finder,ots,Program for detecting repeated sequences in genomes,freeware,webapp,private,ARS,Mitchell_Teddi,NA
446,Reputer,ots,Program for detecting repeated sequences in genomes,freeware,webapp,private,ARS,Mitchell_Teddi,NA
447,Google Colab,ots,"Jupyter Notebook-like environment used to share and run Python code on user-uploaded data and cloud-hosted datasets, available with a Google login",freeware,webapp,hybrid,ARS,White_Alex,NA
448,ArcGIS Online,ots,An online platform for storing and sharing GIS layers and associated data tables with groups of collaborators.,commercial,webapp,private,ARS,White_Alex,NA
449,ArcGIS Pro,ots,"Desktop application for creating, manipulating, and visualizing GIS data.",commercial,desktop,private,ARS,White_Alex,NA
